taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
7667;2016.12.06 19:00;2760;14,7;37,75;8,55;bankkártya
1074;2016.12.29 0:00;540;6,4;18;0;készpénz
4748;2016.12.30 22:45;300;0,6;5,25;0;készpénz
4900;2016.12.13 20:30;420;1,1;6,75;1;bankkártya
6086;2016.12.23 13:30;1080;0;11,5;3,75;bankkártya
2640;2016.12.28 14:45;660;0,1;9,25;4;bankkártya
8348;2016.12.20 10:45;780;1,5;8,75;0;készpénz
6967;2016.12.05 17:30;180;0,4;4,5;0;készpénz
6956;2016.12.15 23:00;600;2,4;9,5;2;bankkártya
8734;2016.12.06 20:30;2640;0,9;38,5;8,5;bankkártya
3921;2016.12.20 18:15;720;0,85;7,5;0;készpénz
2221;2016.12.16 10:45;600;3,69;12,25;1,91;bankkártya
3181;2016.12.25 23:45;420;1,8;8,25;1;bankkártya
8718;2016.12.03 12:00;360;1,1;6,75;0;készpénz
5139;2016.12.06 20:30;660;2,2;9,5;0;készpénz
1129;2016.12.05 21:45;720;1,4;8,5;0;készpénz
8446;2016.12.22 1:00;720;0,1;11,25;2,8;bankkártya
549;2016.12.21 20:30;660;2,3;9,75;0;készpénz
554;2016.12.11 14:00;180;0,5;4,75;0;készpénz
7833;2016.12.14 18:30;1980;3,2;16,75;0;készpénz
5161;2016.12.23 19:15;1260;2,6;12,25;0;készpénz
1508;2016.12.28 23:15;2400;15,1;41;0;készpénz
8030;2016.12.31 15:00;780;2,1;10;0;készpénz
4296;2016.12.13 14:15;420;1,1;6,75;0;készpénz
4497;2016.12.07 6:30;234;0,68;5,25;4;bankkártya
4309;2016.12.07 21:00;900;2,6;11;0;bankkártya
1385;2016.12.17 15:30;1980;0;21;0;készpénz
1030;2016.12.05 9:30;180;0;4,75;2;bankkártya
4338;2016.12.12 21:15;716;5,13;15,75;3,25;bankkártya
1968;2016.12.11 23:30;960;11,9;30;0;készpénz
4000;2016.12.08 19:00;180;0,3;4,25;1,75;bankkártya
93;2016.12.23 17:00;780;1,8;9,5;3;bankkártya
6378;2016.12.06 10:30;960;0,3;18,75;0;készpénz
2978;2016.12.21 18:45;780;4,1;14,25;0;készpénz
2400;2016.12.13 21:00;240;0,5;4,75;0;készpénz
1829;2016.12.26 17:30;360;2,3;8,75;0;készpénz
6830;2016.12.16 19:00;60;0;3,25;0;készpénz
2421;2016.12.11 0:15;60;0;3,75;0;készpénz
5881;2016.12.22 16:30;540;0,9;7,75;2;bankkártya
1447;2016.12.17 18:15;540;1,4;7,5;0;készpénz
5348;2016.12.12 20:30;600;2,1;8,75;0;készpénz
3506;2016.12.12 12:15;240;0,5;4,75;0;készpénz
5739;2016.12.02 15:00;780;2,1;9,75;3;bankkártya
2723;2016.12.05 8:15;540;1;7,25;0;készpénz
5180;2016.12.01 20:15;1140;3,4;13;0;készpénz
1036;2016.12.01 15:15;660;2,4;9,75;0;készpénz
2877;2016.12.13 12:00;600;0;8;0;készpénz
3373;2016.12.23 23:45;540;1,8;8;0;készpénz
491;2016.12.15 0:30;360;1,7;7,5;0;készpénz
4880;2016.12.28 19:30;720;2;9,25;0;készpénz
2973;2016.12.31 15:30;1860;17;41,75;9,15;bankkártya
6317;2016.12.13 10:45;300;0;5;0;készpénz
